#      t       A       B       C       x       y

0.00000000 66 66 66 0.00000000 0.00000004
0.00092179 67 62 69 0.03031089 0.00750000
0.00179481 67 60 71 0.04763140 0.00750000
0.00245139 67 64 67 0.01299038 0.00750000
0.00312922 68 69 61 -0.03464102 0.01500000
0.00371972 64 72 62 -0.04330127 -0.01500000
0.00414307 62 74 62 -0.05196152 -0.03000000
0.00476580 64 74 60 -0.06062178 -0.01500000
0.00556208 63 77 58 -0.08227241 -0.02250000
0.00631936 67 79 52 -0.11691343 0.00750000
0.00717905 68 78 52 -0.11258330 0.01500000
0.00786872 71 76 51 -0.10825318 0.03750000
0.00852870 71 77 50 -0.11691343 0.03750000
0.00942085 69 76 53 -0.09959292 0.02250000
0.01026879 74 73 51 -0.09526279 0.06000000
0.01117467 77 71 50 -0.09093267 0.08250000
0.01231760 79 71 48 -0.09959292 0.09750000
0.01313261 75 71 52 -0.08227241 0.06750000
0.01389230 76 67 55 -0.05196152 0.07500000
0.01481693 77 66 55 -0.04763140 0.08250000
0.01522134 77 67 54 -0.05629165 0.08250000
0.01610233 84 60 54 -0.02598076 0.13500000
0.01689962 82 56 60 0.01732051 0.12000000
0.01756714 81 56 61 0.02165064 0.11250000
0.01839262 81 54 63 0.03897114 0.11250000
0.01934301 79 56 63 0.03031089 0.09750000
0.01986476 86 52 60 0.03464102 0.15000000
0.02051203 88 49 61 0.05196152 0.16500000
0.02112610 90 43 65 0.09526279 0.18000000
0.02174782 93 44 61 0.07361216 0.20250000
0.02289243 97 40 61 0.09093267 0.23250000
0.02351146 96 40 62 0.09526279 0.22500000
0.02442656 90 41 67 0.11258330 0.18000000
0.02507848 87 39 72 0.14289419 0.15750000
0.02581198 83 39 76 0.16021470 0.12750000
0.02647580 79 39 80 0.17753521 0.09750000
0.02765858 79 40 79 0.16887495 0.09750000
0.02839617 77 36 85 0.21217622 0.08250000
0.02944720 77 40 81 0.17753521 0.08250000
0.03009506 82 37 79 0.18186533 0.12000000
0.03120518 80 36 82 0.19918584 0.10500000
0.03192516 74 37 87 0.21650635 0.06000000
0.03266536 71 35 92 0.24681724 0.03750000
0.03384107 68 36 94 0.25114737 0.01500000
0.03454676 69 35 94 0.25547749 0.02250000
0.03542162 66 36 96 0.25980762 0.00000000
0.03623784 60 37 101 0.27712813 -0.04500000
0.03695741 59 37 102 0.28145826 -0.05250000
0.03762967 56 41 101 0.25980762 -0.07500000
0.03867041 57 40 101 0.26413775 -0.06750000
0.03950906 54 41 103 0.26846788 -0.09000000
0.04039024 52 40 106 0.28578838 -0.10500000
0.04156900 49 38 111 0.31609927 -0.12750000
0.04226920 50 37 111 0.32042940 -0.12000000
0.04312002 48 42 108 0.28578838 -0.13500000
0.04404364 48 43 107 0.27712813 -0.13500000
0.04474391 51 41 106 0.28145826 -0.11250000
0.04524045 47 44 107 0.27279800 -0.14250000
0.04581215 46 44 108 0.27712813 -0.15000000
0.04673432 44 46 108 0.26846788 -0.16500000
0.04730733 41 47 110 0.27279800 -0.18750000
0.04853706 39 46 113 0.29011851 -0.20250000
0.04988026 39 50 109 0.25547749 -0.20250000
0.05055941 34 55 109 0.23382686 -0.24000000
0.05176106 34 59 105 0.19918584 -0.24000000
0.05249131 34 60 104 0.19052559 -0.24000000
