#      rho  extc_time        err   N  Ns  M
0.00500000 0.16672518 0.00225822 1000 3 10000 
0.01000000 0.26276722 0.00282465 1000 3 10000 
0.01500000 0.33963282 0.00316260 1000 3 10000 
0.02000000 0.39454773 0.00320464 1000 3 10000 
0.02500000 0.46174093 0.00344614 1000 3 10000 
0.03000000 0.51400153 0.00348328 1000 3 10000 
0.03500000 0.56100682 0.00348613 1000 3 10000 
